age,workclass,education,marital,relationship,race,gender,salary
39, State-gov, Bachelors, Never-married, Not-in-family, White, Male,<=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Husband, White, Male,<=50K
38, Private, HS-grad, Divorced, Not-in-family, White, Male,<=50K
53, Private, 11th, Married-civ-spouse, Husband, Black, Male,<=50K
28, Private, Bachelors, Married-civ-spouse, Wife, Black, Female,<=50K
37, Private, Masters, Married-civ-spouse, Wife, White, Female,<=50K
49, Private, 9th, Married-spouse-absent, Not-in-family, Black, Female,<=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Husband, White, Male,>50K
31, Private, Masters, Never-married, Not-in-family, White, Female,>50K
42, Private, Bachelors, Married-civ-spouse, Husband, White, Male,>50K
37, Private, Some-college, Married-civ-spouse, Husband, Black, Male,>50K
30, State-gov, Bachelors, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,>50K
23, Private, Bachelors, Never-married, Own-child, White, Female,<=50K
32, Private, Assoc-acdm, Never-married, Not-in-family, Black, Male,<=50K
40, Private, Assoc-voc, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,>50K
34, Private, 7th-8th, Married-civ-spouse, Husband, Amer-Indian-Eskimo, Male,<=50K
25, Self-emp-not-inc, HS-grad, Never-married, Own-child, White, Male,<=50K
32, Private, HS-grad, Never-married, Unmarried, White, Male,<=50K
38, Private, 11th, Married-civ-spouse, Husband, White, Male,<=50K
43, Self-emp-not-inc, Masters, Divorced, Unmarried, White, Female,>50K
40, Private, Doctorate, Married-civ-spouse, Husband, White, Male,>50K
54, Private, HS-grad, Separated, Unmarried, Black, Female,<=50K
35, Federal-gov, 9th, Married-civ-spouse, Husband, Black, Male,<=50K
43, Private, 11th, Married-civ-spouse, Husband, White, Male,<=50K
59, Private, HS-grad, Divorced, Unmarried, White, Female,<=50K
56, Local-gov, Bachelors, Married-civ-spouse, Husband, White, Male,>50K
19, Private, HS-grad, Never-married, Own-child, White, Male,<=50K
